Fecha,CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg,VALOR (Miles Euros),VOLUMEN (Miles Kg)
1999-01-01,0.3868494222227136,0.34599975727271687,49.66,0.8944042239606109,13805.8,15435.75
1999-02-01,0.3328816001974834,0.2951646743614163,50.78,0.8866956725343443,11777.42,13282.37
1999-03-01,0.3651610934082851,0.32008799489445305,50.35,0.8765665364479669,12771.89,14570.36
1999-04-01,0.35113795065781966,0.31604525772270914,49.73,0.9000600964112022,12610.58,14010.82
1999-05-01,0.3195930221144522,0.29683454961870537,48.84,0.92878920714484,11844.05,12752.14
1999-06-01,0.3336860876019405,0.2972342871296428,46.74,0.8907602029971903,11860.0,13314.47
1999-07-01,0.3377576459735326,0.29968985335670534,44.53,0.8872925807286971,11957.98,13476.93
1999-08-01,0.31133061066580964,0.276012109895367,47.28,0.8865562859530238,11013.21,12422.46
1999-09-01,0.34084878231202925,0.29923447839910455,48.82,0.877909776791196,11939.81,13600.27
1999-10-01,0.3597990971408832,0.3196699621870903,47.83,0.8884679387116974,12755.21,14356.41
1999-11-01,0.326004360675456,0.2849386620361627,46.67,0.8740332842351914,11369.39,13007.96
1999-12-01,0.3439912955719943,0.30448820720272907,45.63,0.88516253498921,12149.44,13725.66
2000-01-01,0.4382070127683831,0.424098177824921,48.06,0.9678032652779123,17083.46,17651.79
2000-02-01,0.39752169365423956,0.3919559118121334,45.59,0.9859987972204927,15788.71,16012.91
2000-03-01,0.4094816700952364,0.4010570326022072,44.43,0.9794260937465897,16155.32,16494.68
2000-04-01,0.43691089559632085,0.4365462152427948,47.39,0.9991653209906144,17584.89,17599.58
2000-05-01,0.407615320947647,0.39847075627611167,42.68,0.9775656993209293,16051.14,16419.5
2000-06-01,0.4005290032543856,0.4039757166841716,43.43,1.0086054028591704,16272.89,16134.05
2000-07-01,0.37744143514119577,0.3850982330607355,42.07,1.0202860555483937,15512.47,15204.04
2000-08-01,0.34866321505804154,0.3574458301343142,38.77,1.025189393939394,14398.58,14044.8
2000-09-01,0.4240810485230876,0.42034735722490396,43.79,0.9911958072373508,16932.37,17082.77
2000-10-01,0.4578307381499536,0.461624754380681,42.88,1.008286940815854,18595.1,18442.27
2000-11-01,0.435637865744121,0.40102202924628677,42.72,0.9205398813560288,16153.91,17548.3
2000-12-01,0.41457776151605513,0.3832209608800929,41.31,0.9243644894957833,15436.85,16699.96
2001-01-01,0.42539559528231324,0.43631259367355457,43.13,1.0256631674429924,17661.93,17220.01
2001-02-01,0.40674712289915754,0.4230976698877774,44.46,1.040198310124676,17126.99,16465.12
2001-03-01,0.4104173311970094,0.41662558351802426,45.83,1.0151266816703575,16865.0,16613.69
2001-04-01,0.41529999034805226,0.43542524170438957,42.69,1.0484595517073594,17626.01,16811.34
2001-05-01,0.4041485551475855,0.41123798354711133,43.21,1.0175416398480923,16646.91,16359.93
2001-06-01,0.40246797178282234,0.4164778562135808,42.23,1.0348099362259773,16859.02,16291.9
2001-07-01,0.3765830848025759,0.40858432685090584,38.39,1.084977906177349,16539.49,15244.08
2001-08-01,0.35546894983472205,0.3738842205867832,37.67,1.0518055677173026,15134.83,14389.38
2001-09-01,0.40275527421604584,0.4243177788453792,43.87,1.0535374854402697,17176.38,16303.53
2001-10-01,0.5078879548901343,0.5330302527781453,42.72,1.0495036309601982,21577.06,20559.3
2001-11-01,0.39117597331107085,0.40319820909374987,42.86,1.0307335741531312,16321.46,15834.8
2001-12-01,0.41519821167007454,0.42074440851298184,41.87,1.0133579497382672,17031.73,16807.22
2002-01-01,0.4352951370341059,0.4531124851065735,40.13705882352942,1.0515768641509518,18534.459999999995,17635.73
2002-02-01,0.40809848089087125,0.42220080901396473,45.81411764705883,1.0441839678528406,16358.969999999998,15755.939999999999
2002-03-01,0.3873324469872755,0.40240313579419185,44.72235294117647,1.053965730540396,16904.280000000002,15976.31
2002-04-01,0.3575438717130969,0.37669839506092595,42.66764705882353,1.0771812264551275,15830.679999999998,14920.78
2002-05-01,0.3953313979751811,0.42511731346116005,41.71,1.089444765849878,18100.99,16592.64
2002-06-01,0.3860549749427598,0.4089696832082849,42.792352941176475,1.0684080005898453,18062.09,16646.9
2002-07-01,0.3944581819950548,0.4278157256176721,38.38235294117648,1.1118222515962828,17736.41,15786.96
2002-08-01,0.364643747425524,0.38182487988191105,37.2135294117647,1.079813842337358,16568.590000000004,15346.28
2002-09-01,0.40463633459112003,0.43208876536758845,41.80588235294118,1.0940181031819336,18451.69,16879.37
2002-10-01,0.46648316019441954,0.5235400875312439,40.634705882352954,1.136205454944951,21934.040000000005,19449.489999999998
2002-11-01,0.3856341224264074,0.4164758050482835,41.50411764705883,1.096201140287995,17650.08,16554.13
2002-12-01,0.37983469344207305,0.38933485141060625,38.22235294117647,1.0431773534852715,16944.0,16175.760000000002
2003-01-01,0.43058527428177823,0.4619099765993501,41.82058823529411,1.0873995595635861,19117.71,17896.640000000007
2003-02-01,0.4073369521602221,0.4310583136487682,45.151176470588254,1.0693389881577942,18072.15,17141.69
2003-03-01,0.38281427707218235,0.40014260718475697,44.81176470588236,1.0508333307676572,17311.589999999997,16364.300000000001
2003-04-01,0.33196558050437236,0.3555774147337263,41.294117647058826,1.0899472263199719,15655.870000000003,14378.36
2003-05-01,0.3751907685766575,0.3926760702084507,41.85823529411764,1.0508013654127109,16690.57,15961.509999999997
2003-06-01,0.35592753178021175,0.4047187554617972,39.001176470588234,1.1497457504728275,17231.590000000004,15133.92
2003-07-01,0.360062753125798,0.41851775600937324,38.6970588235294,1.1780125783173465,17422.700000000004,14993.359999999997
2003-08-01,0.3430286337725273,0.40567454998879604,37.927647058823524,1.2069197714148836,16395.25,13994.23
2003-09-01,0.37940382571597475,0.4226681811475765,39.72176470588236,1.1188280061102283,18190.760000000002,16351.61
2003-10-01,0.47842275568571346,0.5047424388306341,41.94529411764705,1.0606153564624852,21503.78,19855.539999999994
2003-11-01,0.3700136762933967,0.4038753189716541,41.85,1.0954932038556022,17832.229999999996,16300.86
2003-12-01,0.4090363945351924,0.44494959455934496,40.85058823529411,1.120280375846157,18556.329999999998,17286.4
2004-01-01,0.47097555414688397,0.503146673417286,47.49,1.0683074078625507,21124.7,19773.99
2004-02-01,0.3980619563270047,0.4382180373844686,43.54,1.1008789722785666,18398.66,16712.7
2004-03-01,0.39636326139888167,0.43125462671164116,47.56,1.0880287572304699,18106.3,16641.38
2004-04-01,0.37323604918340947,0.4245124846294231,43.34,1.1373833946592233,17823.23,15670.38
2004-05-01,0.3930237491180048,0.4495715693297531,44.32,1.1438788885879003,18875.34,16501.17
2004-06-01,0.3603984218795811,0.40725282002392166,40.47,1.1300072233945462,17098.58,15131.39
2004-07-01,0.3675233181330686,0.42794274323217524,39.78,1.1643961678568395,17967.25,15430.53
2004-08-01,0.33361753885684486,0.3994202930032646,37.77,1.1972400922682176,16769.73,14006.99
2004-09-01,0.4044901780621579,0.46150792607721325,43.04,1.1409620087395387,19376.49,16982.59
2004-10-01,0.42338303828209284,0.4834232818997677,46.1,1.1418106966714878,20296.61,17775.81
2004-11-01,0.39791809601621014,0.43313267066961225,42.77,1.0884970424968248,18185.15,16706.66
2004-12-01,0.4485462073463585,0.4722614843091016,43.19,1.052871424558564,19827.98,18832.29
2005-01-01,0.4468008184561071,0.5308943723602957,52.37,1.1882126227851793,22813.92,19200.2
2005-02-01,0.40200740862506495,0.4707425770867662,50.42,1.1709798550648294,20229.04,17275.31
2005-03-01,0.3772130139808105,0.4444816671156348,49.37,1.178330679593802,19100.54,16209.83
2005-04-01,0.3688006799492961,0.44213971055427487,50.07,1.1988581762242458,18999.9,15848.33
2005-05-01,0.3789280596740957,0.4545061906401044,44.53,1.1994524528772323,19531.32,16283.53
2005-06-01,0.345456278482092,0.43460770459029074,43.4,1.2580686230394282,18676.23,14845.16
2005-07-01,0.35711835649009593,0.44397855601809305,39.21,1.2432252443747063,19078.92,15346.31
2005-08-01,0.3285115339498996,0.4164770885719408,36.9,1.267770064461288,17897.11,14117.0
2005-09-01,0.3893349197079369,0.4512559812509437,44.09,1.1590431744202587,19391.65,16730.74
2005-10-01,0.43610005032041804,0.5265927957469473,48.21,1.2075045516735003,22629.07,18740.36
2005-11-01,0.413671115577418,0.48068704963179343,46.76,1.1620029330808657,20656.38,17776.53
2005-12-01,0.4236523557234682,0.48722307247945995,45.28,1.1500539673559291,20937.25,18205.45
2006-01-01,0.4380131780289193,0.5175827826321343,52.34,1.1816602983528535,22677.68,19191.37
2006-02-01,0.3711062489565406,0.4585910242922478,47.35,1.2357405071504262,20092.98,16259.87
2006-03-01,0.37483719751375083,0.4618164335422934,50.66,1.2320453695776863,20234.3,16423.34
2006-04-01,0.3557885220666766,0.43739511913781237,49.11,1.2293682679730806,19164.29,15588.73
2006-05-01,0.36995822967209896,0.4682962378175582,49.57,1.265808408242785,20518.21,16209.57
2006-06-01,0.3491496383796312,0.43317232534044875,46.12,1.2406495030347402,18979.27,15297.85
2006-07-01,0.34551158124364717,0.4516698145903208,42.05,1.3072494211758798,19789.73,15138.45
2006-08-01,0.32159261086402824,0.41621655980159117,36.75,1.2942354573487718,18236.36,14090.45
2006-09-01,0.3694634173840931,0.4476599635349819,42.9,1.211648954866879,19614.04,16187.89
2006-10-01,0.3917445773491687,0.48138981999034797,46.75,1.2288359503219797,21091.9,17164.13
2006-11-01,0.41436512194167263,0.5113380598405622,46.55,1.2340277517675338,22404.07,18155.24
2006-12-01,0.418895804012339,0.4642017117812,43.12,1.10815555404209,20338.81,18353.75
2007-01-01,0.453107709205086,0.5362478751773114,54.43,1.1834887473401927,23932.9,20222.33
2007-02-01,0.39551005961265046,0.48311221731437015,49.66,1.2214916045056206,21561.44,17651.73
2007-03-01,0.404089658152073,0.47557832106487186,51.63,1.1769128743351684,21225.2,18034.64
2007-04-01,0.3405901876218614,0.4062572441715129,47.37,1.1928037240537241,18131.38,15200.64
2007-05-01,0.36565231280610894,0.45770749971501784,46.9,1.2517560635743117,20427.62,16319.17
2007-06-01,0.3577926288708275,0.44024335281474863,47.6,1.230442768494507,19648.19,15968.39
2007-07-01,0.31957620969967926,0.39535612829206385,41.12,1.23712628253398,17644.86,14262.78
2007-08-01,0.3193245868859692,0.39656024316372707,39.09,1.2418719367367057,17698.6,14251.55
2007-09-01,0.34875482137856706,0.41825761341165785,43.2,1.1992884048408514,18666.96,15565.03
2007-10-01,0.3862844872781025,0.4852894380452878,51.01,1.2563006127033716,21658.61,17239.99
2007-11-01,0.4029155677301312,0.510493619208068,49.01,1.2669989945635247,22783.48,17982.24
2007-12-01,0.390714213927299,0.469387906908878,45.44,1.20135866619948,20948.92,17437.69
2008-01-01,0.31439078786365915,0.4076945507033249,42.81,1.2967763892628068,17870.24,13780.51
2008-02-01,0.30479104476871777,0.4089345004091333,43.94,1.3416880430966793,17924.59,13359.73
2008-03-01,0.33616143011324023,0.43940007608792697,44.52,1.3071103247624496,19259.97,14734.77
2008-04-01,0.36327583353285825,0.4747595176617154,51.03,1.3068843942760464,20809.86,15923.26
2008-05-01,0.3425065048543522,0.4383120687011744,48.75,1.279718961505746,19212.28,15012.89
2008-06-01,0.32046574292644964,0.4226779797518388,48.67,1.3189490267883266,18527.0,14046.79
2008-07-01,0.26172361041471903,0.3657228805511657,39.65,1.3973629661139577,16030.52,11471.98
2008-08-01,0.24759959084951338,0.34710675248414447,37.44,1.4018874235341925,15214.53,10852.89
2008-09-01,0.2877951784883849,0.42002332385914576,44.45,1.4594522606851021,18410.64,12614.76
2008-10-01,0.3342703642233698,0.48858946267847825,52.35,1.4616595276510593,21416.06,14651.88
2008-11-01,0.30828982465616533,0.44907784361697806,49.21,1.456674232170436,19684.17,13513.09
2008-12-01,0.32247019520156145,0.4685686666558613,50.89,1.4530603870629977,20538.5,14134.65
2009-01-01,0.3391942700799682,0.4814933718631773,49.68,1.4195209481270445,21684.02,15275.59
2009-02-01,0.3081881150987947,0.44868994527283695,49.98,1.4558963285427218,20206.72,13879.23
2009-03-01,0.3453468277457446,0.5048512412863891,52.96,1.4618673192448628,22735.94,15552.67
2009-04-01,0.32973294737240844,0.47106413379308243,52.33,1.4286231859658574,21214.34,14849.5
2009-05-01,0.3204457117591884,0.46848280410979065,51.5,1.4619724556084885,21098.09,14431.25
