Fecha,CONSUMO X CAPITA,lockdown
2012-08-01,54.14581289,0.0
2012-09-01,54.31267054,0.0
2012-10-01,55.13337728,0.0
2012-11-01,56.20270252,0.0
2012-12-01,55.88176583,0.0
2013-01-01,56.8466872,0.0
2013-02-01,51.56665524,0.0
2013-03-01,56.50203345,0.0
2013-04-01,57.0289256,0.0
2013-05-01,55.94088099,0.0
2013-06-01,56.71645432,0.0
2013-07-01,57.72593511,0.0
2013-08-01,54.47791511,0.0
2013-09-01,55.75743986,0.0
2013-10-01,57.03244603,0.0
2013-11-01,55.17133173,0.0
2013-12-01,55.87809709,0.0
2014-01-01,55.97727184,0.0
2014-02-01,50.59383975,0.0
2014-03-01,56.98377273,0.0
2014-04-01,53.61770565,0.0
2014-05-01,57.33219096,0.0
2014-06-01,55.83029307,0.0
2014-07-01,57.00742608,0.0
2014-08-01,52.95534969,0.0
2014-09-01,56.10925904,0.0
2014-10-01,55.9945894,0.0
2014-11-01,53.45275473,0.0
2014-12-01,56.42568538,0.0
2015-01-01,55.67513945,0.0
2015-02-01,49.94903199,0.0
2015-03-01,54.76148836,0.0
2015-04-01,53.76662436,0.0
2015-05-01,56.49640273,0.0
2015-06-01,55.4202766,0.0
2015-07-01,58.26448586,0.0
2015-08-01,51.59103642,0.0
2015-09-01,53.91074714,0.0
2015-10-01,57.12167561,0.0
2015-11-01,52.78163997,0.0
2015-12-01,56.99008821,0.0
2016-01-01,53.92868142,0.0
2016-02-01,53.36830387,0.0
2016-03-01,55.41466804,0.0
2016-04-01,56.65259976,0.0
2016-05-01,54.41834328,0.0
2016-06-01,56.3610145,0.0
2016-07-01,56.82281605,0.0
2016-08-01,53.0812815,0.0
2016-09-01,55.25710516,0.0
2016-10-01,56.65431517,0.0
2016-11-01,53.6389176,0.0
2016-12-01,56.96447618,0.0
2017-01-01,51.6211753,0.0
2017-02-01,48.1455479,0.0
2017-03-01,55.21334739,0.0
2017-04-01,50.98224555,0.0
2017-05-01,52.08521867,0.0
2017-06-01,54.97144833,0.0
2017-07-01,55.80116913,0.0
2017-08-01,52.20078254,0.0
2017-09-01,54.30413949,0.0
2017-10-01,53.06007838,0.0
2017-11-01,51.45471221,0.0
2017-12-01,53.51579029,0.0
2018-01-01,52.15800468,0.0
2018-02-01,47.78841587,0.0
2018-03-01,54.23981672,0.0
2018-04-01,52.84015048,0.0
2018-05-01,52.76659666,0.0
2018-06-01,54.39542954,0.0
2018-07-01,54.52739858,0.0
2018-08-01,52.25008131,0.0
2018-09-01,53.41816697,0.0
2018-10-01,53.68090351,0.0
2018-11-01,50.33948357,0.0
2018-12-01,53.31074914,0.0
2019-01-01,51.35814264,0.0
2019-02-01,47.66034033,0.0
2019-03-01,52.82891359,0.0
2019-04-01,50.66565668,0.0
2019-05-01,53.5000887,0.0
2019-06-01,52.70051187,0.0
2019-07-01,55.19906261,0.0
2019-08-01,52.37182003,0.0
2019-09-01,51.02492125,0.0
2019-10-01,52.40342078,0.0
2019-11-01,50.83784563,0.0
2019-12-01,52.14465586,0.0
2020-01-01,50.30555863,0.0
2020-02-01,50.09489454,0.0
2020-03-01,60.72947945,1.0
2020-04-01,66.86646795,0.8
2020-05-01,64.41786234,0.6
2020-06-01,58.64340552,0.4
2020-07-01,58.43937484,0.2
2020-08-01,53.32384786,0.0
2020-09-01,54.05631693,0.0
2020-10-01,59.17715711,0.0
2020-11-01,54.96593376,0.0
2020-12-01,58.50200669,0.0
2021-01-01,55.47710817,0.0
2021-02-01,52.41051758,0.0
2021-03-01,55.15833426,0.0
2021-04-01,53.87472067,0.0
2021-05-01,53.9052668,0.0
2021-06-01,52.96472537,0.0
2021-07-01,55.57244125,0.0
2021-08-01,51.58350616,0.0
2021-09-01,52.06747378,0.0
2021-10-01,52.65541163,0.0
2021-11-01,50.11891246,0.0
2021-12-01,53.34539907,0.0
2022-01-01,48.69778351,0.0
2022-02-01,45.2024879,0.0
2022-03-01,53.19989697,0.0
2022-04-01,45.84565295,0.0
2022-05-01,47.51221664,0.0
2022-06-01,48.5499649,0.0
2022-07-01,51.09824888,0.0
2022-08-01,49.8666012,0.0
2022-09-01,48.80784139,0.0
2022-10-01,48.41670122,0.0
2022-11-01,46.24687655,0.0
2022-12-01,48.02175902,0.0
2023-01-01,47.19255827,0.0
2023-02-01,42.89696329,0.0
2023-03-01,48.76542732,0.0
2023-04-01,46.46615777,0.0
2023-05-01,48.45372331,0.0
2023-06-01,47.73321001,0.0
2023-07-01,49.98681963,0.0
2023-08-01,48.64842264,0.0
2023-09-01,49.42259083,0.0
2023-10-01,47.37422641,0.0
2023-11-01,45.80827884,0.0
