Fecha,CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg,VALOR (Miles Euros),VOLUMEN (Miles Kg)
1999-01-01,52.42581791061702,80.24229494305783,99.98,1.530587373569761,3201762.58,2091852.21
1999-02-01,45.60285672771579,67.63340796790295,100.0,1.4830958589223158,2698653.06,1819607.98
1999-03-01,49.816535693807765,75.3241965302389,99.96,1.5120320086730108,3005524.63,1987738.76
1999-04-01,47.31134387175097,69.38180345143918,99.99,1.4664940323723548,2768416.11,1887778.64
1999-05-01,50.5148949193736,73.97248300921792,99.98,1.4643697295081932,2951589.66,2015604.12
1999-06-01,48.35211875042406,68.38842591308334,99.95,1.414383230362238,2728779.17,1929306.79
1999-07-01,55.372509914048585,76.04519919412023,99.89,1.3733384907449675,3034293.49,2209428.71
1999-08-01,47.60414821515439,64.33451338375309,100.0,1.3514476321051518,2567023.26,1899461.88
1999-09-01,51.63367324764964,73.40919120400135,99.96,1.4217309477849889,2929113.65,2060244.7
1999-10-01,52.45530600796774,78.47009089287486,99.95,1.4959419144548616,3131049.54,2093028.82
1999-11-01,47.673016096262856,73.20226376076113,99.98,1.5355072901816997,2920857.0,1902209.79
1999-12-01,52.659542052380395,97.18531269828223,100.0,1.845540407503204,3877809.05,2101178.08
2000-01-01,49.91595207287234,77.69321569362323,99.98,1.5564806933903383,3129626.61,2010706.99
2000-02-01,48.79973080067668,76.49744817796991,100.0,1.5675793067471013,3081458.88,1965743.53
2000-03-01,53.22259249879616,86.06958554484414,100.0,1.6171625902438131,3467042.3,2143904.59
2000-04-01,51.507733407117044,85.1930315058837,99.99,1.6539852536806097,3431733.08,2074826.89
2000-05-01,52.91584468532451,81.83488227634375,99.97,1.546509986999027,3296460.61,2131548.22
2000-06-01,54.072166149613714,81.16381357643381,100.0,1.501027596191717,3269428.72,2178126.99
2000-07-01,54.67520619966836,81.63939970481174,99.99,1.4931704035403697,3288586.21,2202418.56
2000-08-01,51.213761570305614,74.43457802595617,97.66,1.4534097036354832,2998362.65,2062985.16
2000-09-01,55.15338332113666,84.22434044186578,100.0,1.5270929065486387,3392712.41,2221680.42
2000-10-01,57.0321450062865,90.76558463547985,100.0,1.5914811660244412,3656205.84,2297360.42
2000-11-01,50.84184445913107,84.93444533114959,99.98,1.6705618420162485,3421316.75,2048003.65
2000-12-01,53.43729911200032,106.96980189058779,99.97,2.001781595779899,4308941.72,2152553.37
2001-01-01,50.47151552959109,83.99318675810245,99.92,1.664170094295224,3400043.47,2043086.51
2001-02-01,48.71631628912455,79.86828048713568,99.91,1.6394564813383787,3233067.3,1972036.06
2001-03-01,54.49589139359913,91.87351750134303,100.0,1.6858797085780695,3719039.19,2205993.21
2001-04-01,53.78275759424876,93.86413378839956,100.0,1.7452458369006516,3799619.32,2177125.56
2001-05-01,53.794168663892314,90.38795418833084,99.98,1.6802556193976648,3658903.6,2177587.48
2001-06-01,55.93954634781149,91.04202967460651,99.87,1.627507472236916,3685380.57,2264432.35
2001-07-01,54.31609738266648,87.65522064708476,97.35,1.6137982084673406,3548282.57,2198715.15
2001-08-01,50.614000243976115,79.85383680814537,97.67,1.5777025412578267,3232482.62,2048854.29
2001-09-01,53.907331237594725,90.37238970870466,100.0,1.6764396907424601,3658273.55,2182168.3
2001-10-01,60.7254959919254,107.51618019766845,100.0,1.7705278226457755,4352254.04,2458167.55
2001-11-01,50.99780837973698,93.27185994582707,100.0,1.8289385938178258,3775644.08,2064390.84
2001-12-01,52.27201492800462,115.46685705284983,99.98,2.208961280943251,4674097.37,2115970.71
2002-01-01,52.77884305651522,98.00123162757916,99.13999999999999,1.8502161214776118,3957763.5400000005,2130354.51
2002-02-01,50.48823725745736,90.77047156407895,99.97058823529412,1.790476131607757,3613157.1200000015,2027641.18
