Fecha,CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg,VALOR (Miles Euros),VOLUMEN (Miles Kg)
1999-01-01,4.583462979955902,20.089205342241435,91.75,4.382975368208323,801583.08,182885.6
1999-02-01,3.61867206194335,15.739012131567831,91.34,4.349388909011956,628005.22,144389.3
1999-03-01,3.8008345759401294,16.965297795802673,91.14,4.463571738479656,676935.47,151657.8
1999-04-01,3.428112804644722,14.7058748708545,90.24,4.289787328739482,586781.82,136785.76
1999-05-01,3.6398198052962787,16.071979192888342,91.43,4.415597489057593,641291.0,145233.12
1999-06-01,3.0433319927137186,13.829317174057081,89.79,4.544136889161925,551806.13,121432.55
1999-07-01,3.5131047686630206,16.04472586631193,88.38,4.567107138230341,640203.56,140177.04
1999-08-01,2.722659052771913,12.688958283192138,90.7,4.660502118424866,506304.46,108637.32
1999-09-01,3.360208052849442,15.477158749371782,91.53,4.606012040310187,617556.96,134076.28
1999-10-01,3.8833449093419374,17.70268067534378,91.09,4.558616627834801,706357.92,154950.06
1999-11-01,3.8125570350853253,17.008979206292533,91.16,4.461304853872663,678678.41,152125.54
1999-12-01,4.705281921282783,23.658305191065093,89.48,5.028031388311632,943994.39,187746.32
2000-01-01,4.820704379995045,19.11171143446162,96.02,3.9645059991173452,769855.13,194186.9
2000-02-01,4.31173746260655,18.16176702592125,96.93,4.212169034740352,731589.61,173684.77
2000-03-01,4.368114959955368,20.761780803836448,96.33,4.7530298525038335,836322.98,175955.76
2000-04-01,4.4017382899498685,20.76569869719203,97.25,4.717613208537333,836480.8,177310.17
2000-05-01,4.175640194524987,19.684796555872378,96.4,4.714198455528491,792940.06,168202.52
2000-06-01,3.973538761464223,18.533132772177353,96.02,4.66413790949104,746548.91,160061.5
2000-07-01,4.0411265179853855,19.395442927785684,96.34,4.799513908179954,781284.36,162784.06
2000-08-01,3.6802108871014227,17.484551140909858,92.48,4.750964462985134,704310.1,148245.71
2000-09-01,4.174851005386894,20.457840706360965,97.36,4.900256483396367,824079.71,168170.73
2000-10-01,4.755817591647037,22.421647389107747,96.98,4.714572617017187,903185.48,191573.14
2000-11-01,4.572353087231788,21.054719172770604,97.23,4.6047885565892805,848123.08,184182.85
2000-12-01,5.40759100191927,26.039461442895785,96.81,4.815353349329456,1048917.73,217827.78
2001-01-01,4.948545034753339,21.425866260077036,96.71,4.329730478272794,867318.88,200317.06
2001-02-01,4.0559559103137754,19.233490295316635,96.33,4.742036333878369,778571.52,164185.06
2001-03-01,4.4791333727088025,21.738127690753956,96.64,4.853199465593854,879959.22,181315.28
2001-04-01,4.531891783245185,23.054533852824676,96.21,5.0871766042736,933247.33,183450.94
2001-05-01,4.131430234818031,21.0691799186766,96.37,5.099730292215522,852880.22,167240.26
2001-06-01,4.023886980503878,20.470637053019082,96.24,5.087279327724984,828651.21,162886.91
2001-07-01,3.834760704721797,20.091245173147072,92.51,5.239243520047661,813293.43,155231.08
2001-08-01,3.569302643777061,18.50264997042565,93.2,5.1838277156699775,748987.11,144485.34
2001-09-01,4.207715330247342,22.126945709013334,96.21,5.258660335206813,895698.57,170328.28
2001-10-01,5.257909231606659,26.819549977355358,97.07,5.100801249313334,1085655.15,212840.12
2001-11-01,4.701754220899347,24.283472604812342,96.47,5.164768608463635,982994.76,190326.97
2001-12-01,5.681641041946787,31.638197998054622,97.07,5.5684964545408775,1280713.98,229992.78
2002-01-01,5.300381923985738,28.022888735992534,96.7535294117647,5.295594708041961,1112379.25,210574.16
2002-02-01,4.5362300597935485,23.628968501668787,96.27470588235296,5.174694112240142,901479.1699999999,176253.67
2002-03-01,4.675981830677131,24.969202143619228,96.98882352941177,5.312065195552228,953541.5400000002,180035.73999999996
2002-04-01,4.666938646820367,24.72282903002164,96.66823529411765,5.2763353126018195,986094.2900000002,189475.29999999996
2002-05-01,4.567347565925838,23.98758177366038,96.48352941176472,5.233155368095709,949578.0800000001,183393.47
2002-06-01,4.114591699690671,21.58173673256783,95.6464705882353,5.236679766699229,857061.3599999999,165584.55999999997
2002-07-01,3.9737055039761744,21.219340101471264,93.28823529411765,5.345148836141126,847301.0399999999,160203.14000000004
2002-08-01,4.053095379361564,21.58505104114051,93.7635294117647,5.316601530341135,814987.85,155625.82
2002-09-01,4.235985674980535,22.853045954873156,97.35235294117646,5.3788471681594565,936977.19,175871.83000000002
2002-10-01,4.920715704259969,26.253194805216058,97.77882352941177,5.336509606139412,1043200.72,198750.31
2002-11-01,4.920715704259969,26.253194805216058,97.77882352941177,5.336509606139412,1043200.72,198750.31
